clean_number,event_number,axis_scatter,numb_pix,energy,size,Xc[0],Yc[0],con2,length[0],width[0],dist[0],dist[1],azwidth[1],miss[1],alpha[0],alpha[1],a_axis[0],b_axis[0],x_max_coord,y_max_coord,skewness,kurtosis,edge,source_x,source_y,x_ground,y_ground,tel_tet,tel_fi,source_tet,source_fi,Xmax,num_islands,con_selected_island
2968,1207,2,8,25.294,374.197,-1.04004,-1.0161,0.545958,0.399264,0.109124,1.45401,1.45414,0.111488,0.0864662,3.4041,3.40895,1.10041,1.06446,-0.9045,-0.939984,0.43128,32.2615,1,0.000175921,-3.8073e-10,118.874,-241.182,0.617066,5.87052,0.617066,-0.412657,337.845,1,1
2969,1208,0,13,128.947,445.826,-2.57377,1.58355,0.271898,0.545276,0.16009,3.02191,3.02176,0.160434,0.060859,1.15571,1.15403,-0.643423,-0.600973,-2.3517,1.56664,0.0600801,103.567,1,-0.000169573,-3.08745e-10,-524.759,47.6627,0.682566,5.29871,0.682566,-0.984477,379.164,1,1
2970,1208,1,4,128.947,92.828,-3.79246,0,0.560617,0.384334,0,3.79246,3.79229,3.12902e-11,3.08745e-10,0,4.66468e-09,-nan,-nan,-3.618,0,-nan,nan,1,-0.000169573,-3.08745e-10,-558.001,-383.227,0.682566,5.29871,0.682566,-0.984477,379.164,1,1
2971,1208,2,21,128.947,5122.05,-0.0514441,0.803845,0.710032,0.324769,0.126174,0.80549,0.805479,0.126816,0.0343001,2.42855,2.44059,-9.37218,2.66751,0,0.626656,1.32238,35.3178,0,-0.000169573,-3.08745e-10,-78.2464,105.129,0.682566,5.29871,0.682566,-0.984477,379.164,1,1
2972,1208,5,13,128.947,585.757,0.529662,-2.3156,0.502311,0.493723,0.118809,2.3754,2.37544,0.123543,0.16789,4.05688,4.05289,-3.28297,-4.78222,0.5427,-2.19329,0.371376,87.4562,0,-0.000169573,-3.08745e-10,346.349,-362.916,0.682566,5.29871,0.682566,-0.984477,379.164,1,1
2973,1209,0,14,34.2585,390.289,0.93424,2.60162,0.284612,0.61683,0.140767,2.76428,2.76423,0.14277,0.10969,2.27725,2.27421,3.17625,-3.03282,0.7236,1.87997,0.205612,181.86,0,0.000155624,-3.54756e-10,-242.754,229.976,0.537375,5.82361,0.537375,-0.459567,503.072,1,1
2974,1209,1,12,34.2585,359.624,2.29632,-0.932004,0.408215,0.520951,0.129503,2.47825,2.4781,0.130542,0.08073,1.86823,1.86687,-0.44437,0.733092,2.3517,-0.939984,0.351398,118.784,1,0.000155624,-3.54756e-10,217.396,182.057,0.537375,5.82361,0.537375,-0.459567,503.072,1,1
2975,1209,4,25,34.2585,1070.08,-1.97992,0.329967,0.380166,0.676179,0.159902,2.00723,2.00738,0.161066,0.059076,1.68715,1.68642,-0.136532,0.494571,-1.6281,0.313328,0.948865,400.272,1,0.000155624,-3.54756e-10,-116.347,-152.181,0.537375,5.82361,0.537375,-0.459567,503.072,1,1
2976,1210,0,19,103.899,719.899,-2.51982,-0.583554,0.282948,0.698341,0.155377,2.58651,2.58666,0.155961,0.0512401,1.13428,1.13506,0.252543,0.437887,-2.5326,-0.626656,0.466356,344.042,0,0.000157096,-3.56902e-10,176.182,-321.903,0.543022,6.52266,0.543022,0.239483,376.87,1,1
2977,1210,1,19,103.899,491.294,1.45506,2.59172,0.293502,0.751897,0.158599,2.97224,2.97216,0.158851,0.0361141,0.693566,0.696206,1.73173,0.59657,1.2663,2.19329,0.196107,400.507,1,0.000157096,-3.56902e-10,-476.969,99.9441,0.543022,6.52266,0.543022,0.239483,376.87,1,1
2978,1210,4,24,103.899,5292.65,-0.94375,-0.0578369,0.651139,0.360738,0.146387,0.94552,0.945677,0.148054,0.0635483,3.85252,3.85311,0.129158,0.531143,-0.7236,0,1.26494,51.5577,0,0.000157096,-3.56902e-10,39.6386,-110.76,0.543022,6.52266,0.543022,0.239483,376.87,1,1
2979,1210,5,12,103.899,340.455,-0.577466,-2.98386,0.369532,0.615418,0.130934,3.03922,3.03925,0.131209,0.0428548,0.810831,0.807923,4.80185,-1.74919,-0.5427,-2.81995,0.121114,186.896,0,0.000157096,-3.56902e-10,540.866,39.2109,0.543022,6.52266,0.543022,0.239483,376.87,1,1
2980,1210,7,13,103.899,500.551,2.49347,1.41064,0.292564,0.658127,0.132155,2.86484,2.86471,0.132289,0.0264183,0.526842,0.528389,0.553659,0.24967,2.1708,1.25331,0.168358,208.222,0,0.000157096,-3.56902e-10,-307.721,285.261,0.543022,6.52266,0.543022,0.239483,376.87,1,1
2981,1210,8,18,103.899,651.914,2.2532,-1.00795,0.366473,0.559222,0.176995,2.46837,2.46823,0.177325,0.050381,1.17108,1.16959,-0.472102,0.462582,2.3517,-0.939984,0.105034,141.8,1,0.000157096,-3.56902e-10,84.3542,371.027,0.543022,6.52266,0.543022,0.239483,376.87,1,1
2982,1211,5,32,140.202,2130.36,-2.02192,0.0558399,0.41472,0.71556,0.16863,2.02269,2.02284,0.169699,0.0553279,1.56721,1.56732,-0.0550185,-0.459396,-1.4472,0,0.933297,523.632,1,0.000152053,-3.49398e-10,-2.73555,-259.026,0.523759,6.31409,0.523759,0.0309127,381.291,1,1
2983,1211,8,11,140.202,266.42,1.85317,2.94461,0.238608,0.576638,0.139241,3.47922,3.47914,0.146784,0.288793,4.75931,4.76142,1.32978,3.98258,1.6281,2.81995,-0.00118432,130.882,1,0.000152053,-3.49398e-10,-560.206,284.843,0.523759,6.31409,0.523759,0.0309127,381.291,1,1
2984,1211,9,19,140.202,712.37,-2.41914,1.55112,0.296969,0.613042,0.178492,2.87371,2.87384,0.178882,0.0578677,1.15543,1.15379,-0.613088,0.563605,-2.1708,1.25331,0.0274134,200.88,1,0.000152053,-3.49398e-10,-231.526,-333.552,0.523759,6.31409,0.523759,0.0309127,381.291,1,1
2985,1212,0,17,112.977,748.335,-1.53424,-1.5057,0.344731,0.583868,0.160531,2.14965,2.14979,0.160775,0.0338943,0.899869,0.903383,1.01272,0.398415,-1.4472,-1.25331,0.547678,161.32,1,0.000188254,-3.92257e-10,153.858,-363.613,0.667741,5.79575,0.667741,-0.487427,333.105,1,1
2986,1212,1,11,112.977,441.324,2.45752,-0.265871,0.361009,0.51506,0.123854,2.47186,2.47167,0.127361,0.146742,3.40315,3.40362,-0.0484091,-1.21811,2.3517,-0.313328,0.142482,81.9158,1,0.000188254,-3.92257e-10,254.07,358.455,0.667741,5.79575,0.667741,-0.487427,333.105,1,1
2987,1212,2,15,112.977,1424.41,1.05369,-1.19596,0.560982,0.451071,0.120318,1.59392,1.5938,0.121735,0.067878,2.44597,2.4409,-1.23775,0.897536,0.9045,-0.939984,0.802866,83.7291,0,0.000188254,-3.92257e-10,305.178,36.3804,0.667741,5.79575,0.667741,-0.487427,333.105,1,1
2988,1214,0,8,55.3926,144.432,-0.0769318,3.29652,0.368492,0.473836,0.125357,3.29742,3.29742,0.125395,0.0221314,0.382128,0.384556,-33.3206,6.07881,0,3.13328,-0.0957835,61.7663,1,-0.000139793,-2.80176e-10,-406.278,385.439,0.546861,5.50587,0.546861,-0.777317,428.557,1,1
2989,1214,3,25,55.3926,3386.4,0.768501,0.968383,0.407301,0.564565,0.165086,1.23627,1.23636,0.165332,0.0206721,0.963115,0.95804,1.21749,0.271473,0.3618,0.626656,1.62613,330.83,0,-0.000139793,-2.80176e-10,-29.1254,145.014,0.546861,5.50587,0.546861,-0.777317,428.557,1,1
2990,1214,4,8,55.3926,219.676,-3.00086,-0.222248,0.385358,0.450244,0.139023,3.00907,3.00894,0.13903,0.00974035,0.185278,0.185475,0.0708108,-0.0808859,-2.7135,-0.313328,0.455525,50.6879,0,-0.000139793,-2.80176e-10,-265.754,-315.32,0.546861,5.50587,0.546861,-0.777317,428.557,1,1
2991,1214,7,8,55.3926,215.901,-0.387838,-3.05978,0.438331,0.590424,0.0896673,3.08426,3.08424,0.0897234,0.0167579,0.308735,0.311311,7.56243,-1.05121,-0.3618,-2.50662,0.199005,130.75,0,-0.000139793,-2.80176e-10,314.648,-382.834,0.546861,5.50587,0.546861,-0.777317,428.557,1,1
2992,1214,8,19,55.3926,1072.01,-1.6097,1.20449,0.398577,0.717405,0.155975,2.01045,2.01034,0.15777,0.0681401,1.94002,1.9424,-0.696736,0.687818,-1.2663,0.939984,0.846058,456.487,1,-0.000139793,-2.80176e-10,-239.094,-16.9602,0.546861,5.50587,0.546861,-0.777317,428.557,1,1
2993,1216,0,12,55.8499,1822.09,0.677324,0.31924,0.735491,0.275217,0.121132,0.748787,0.748617,0.121281,0.0181776,1.38525,1.39137,0.442104,0.164112,0.5427,0.313328,0.896143,13.5879,0,0.000187542,-3.91691e-10,-72.5693,82.1587,0.664761,6.46658,0.664761,0.183403,329.615,1,1
2994,1217,0,6,22.0703,354.813,1.19407,-0.362014,0.698452,0.330406,0.0964158,1.24774,1.24757,0.0964896,0.0148952,0.686517,0.684093,-0.316307,0.130018,0.9045,-0.313328,0.54701,15.1182,0,0.000181955,-3.8681e-10,192.08,119.645,0.641619,5.61569,0.641619,-0.667487,314.247,1,1
2995,1217,4,8,22.0703,388.397,0.906381,0.825341,0.700999,0.361426,0.0938465,1.22585,1.22572,0.0980158,0.0993238,4.65368,4.64796,1.07141,-1.20864,0.7236,0.626656,0.856513,34.645,0,0.000181955,-3.8681e-10,-45.4583,229.395,0.641619,5.61569,0.641619,-0.667487,314.247,1,1
2996,1217,5,4,22.0703,108.597,-1.63642,-0.825313,0.634023,0.309856,0.0852065,1.83276,1.83292,0.0858649,0.0652944,2.04405,2.04149,0.460365,-0.596725,-1.6281,-0.939984,-0.325191,10.9349,0,0.000181955,-3.8681e-10,-44.9621,-365.098,0.641619,5.61569,0.641619,-0.667487,314.247,1,1
2997,1217,7,7,22.0703,166.644,1.13674,-1.05171,0.522035,0.367299,0.117702,1.54863,1.5485,0.117702,0.00113227,0.0464673,0.0418951,-0.926706,0.0141984,0.9045,-0.939984,0.479657,24.6855,0,0.000181955,-3.8681e-10,322.657,20.8892,0.641619,5.61569,0.641619,-0.667487,314.247,1,1
2998,1218,4,22,128.565,1603.79,-1.86559,0.264517,0.343079,0.625245,0.150714,1.88425,1.88443,0.150755,0.0108597,0.329408,0.33019,-0.147657,-0.0907996,-1.6281,0.313328,0.892613,311.778,1,0.000183171,-3.87936e-10,-16.7093,-268.786,0.646619,6.38738,0.646619,0.104203,378.98,1,1
2999,1218,5,9,128.565,222.59,-2.5106,2.29538,0.456728,0.469871,0.118906,3.40175,3.40188,0.121046,0.169557,2.85901,2.85693,-0.826593,1.82534,-2.3517,2.19329,-0.0322571,56.0344,1,0.000183171,-3.87936e-10,-437.043,-465.066,0.646619,6.38738,0.646619,0.104203,378.98,1,1
3000,1218,6,10,128.565,253.736,-3.14957,-0.729956,0.395604,0.639036,0.129204,3.23305,3.23323,0.129205,0.00244196,0.0425408,0.0432737,0.232546,0.0204355,-2.8944,-0.626656,0.138086,159.8,0,0.000183171,-3.87936e-10,206.104,-527.16,0.646619,6.38738,0.646619,0.104203,378.98,1,1
3001,1218,7,16,128.565,505.546,-2.79676,-0.189349,0.228412,0.600964,0.17031,2.80316,2.80335,0.170314,0.00629701,0.128448,0.128701,0.0699554,0.0522354,-2.7135,-0.313328,0.0733505,158.797,0,0.000183171,-3.87936e-10,81.4569,-438.703,0.646619,6.38738,0.646619,0.104203,378.98,1,1
3002,1219,4,13,32.0513,1456.37,-0.130419,1.08148,0.621994,0.420472,0.109749,1.08931,1.0893,0.11081,0.0410551,2.15263,2.15996,-6.2932,2.1619,-0.1809,0.939984,1.30526,94.7563,0,-0.000140402,-2.8094e-10,-120.864,147.838,0.549515,5.29552,0.549515,-0.987667,381.818,1,1
3003,1219,7,15,32.0513,1619.32,0.967027,-0.19692,0.566368,0.372724,0.151399,0.986873,0.987011,0.15148,0.014382,0.836528,0.834901,-0.188473,-0.121573,0.9045,-0.313328,1.1266,51.7465,0,-0.000140402,-2.8094e-10,107.516,41.2012,0.549515,5.29552,0.549515,-0.987667,381.818,1,1
3004,1219,8,12,32.0513,374.177,-1.78346,-0.723413,0.441641,0.49999,0.125633,1.9246,1.92447,0.125858,0.0299185,0.892349,0.890778,0.423876,0.26994,-1.4472,-0.626656,0.54832,102.091,0,-0.000140402,-2.8094e-10,-151.349,-244.27,0.549515,5.29552,0.549515,-0.987667,381.818,1,1
3005,1220,3,8,28.9255,482.869,0.385588,-1.43033,0.535435,0.397183,0.10227,1.4814,1.48144,0.104304,0.0791108,3.06699,3.06113,-3.04975,-2.10933,0.3618,-1.25331,0.548758,40.9757,0,-0.000156711,-2.9877e-10,277.153,-36.9961,0.622344,5.92825,0.622344,-0.354937,363.835,1,1
3006,1221,2,5,133.326,89.371,-2.18978,-2.53264,0.626512,0.26031,0.127648,3.34805,3.34815,0.15628,1.33068,23.416,23.4181,3.18488,36.8288,-2.1708,-2.50662,-0.127705,4.40159,0,0.000159246,-3.59965e-10,538.071,-224.372,0.551304,6.52146,0.551304,0.238283,489.024,1,1
